,created_at,id,text
0,Sun May 02 07:59:00 +0000 2021,1388764950466863104,"""House of Cards"" has always hit differently 🎂 Happy 5th birthday to @BTS_twt's ""The Most Beautiful Moment In Life:… https://t.co/99jv4iH4NS"
1,Sun May 02 22:11:00 +0000 2021,1388979360024055812,POWER A Enhanced Wireless Controller for Nintendo Switch - Waluigi is up for preorder on Amazon ($49.99)… https://t.co/0zchqfK9ek
2,Sun May 02 14:21:00 +0000 2021,1388861081616068611,"Select 1st party Switch $39.99 physical/digital sale:
Amazon https://t.co/K4ErQUfYhK
GameStop… https://t.co/2VPfSEyqzv"
3,Mon May 03 23:59:59 +0000 2021,1389369175571779588,"タナカワークス ガスライフル M40A1 24in BK Ver.2 ガスボルトアクション カートリッジタイプ
https://t.co/xqfKvxr77R"
4,Mon May 03 23:59:58 +0000 2021,1389369173743001602,"#現在保有している米国株　(5/3)
アフターコロナを見据えてBKNGやMAを買ってますが昨日はマイナス引け😭
とりあえずVTIを増やして防御力を上げときます☺️

$VTI:100株⇒145株
$SE:200株
$FB:70株… https://t.co/Afjh5cV9R3"
5,Mon May 03 23:59:58 +0000 2021,1389369170857500681,Silicone Eye Pad for Oculus Quest 2 Face Cushion Cover Washable Anti-Leakage Light Blocking Face Cover VR Accessori… https://t.co/BfwQm4wJUA
6,Mon May 03 23:59:57 +0000 2021,1389369167241908224,"2003年 7月31日
ボンバーマンランド2 ゲーム史上最大のテーマパーク(ハドソン)
詳細はコチラ : https://t.co/qYwk4rYpAl 

#このゲームを語れる人RT https://t.co/nzcRQOx4iP"
7,Mon May 03 23:59:55 +0000 2021,1389369161114030081,"RT @kosakanatops: 🐟先行カット第二弾解禁🐟
お待たせしました！　
#小坂菜緒1st写真集  から歯磨きカットの解禁です🪥
朝、お出かけの準備をする彼女のふとした瞬間を切りとりました！　
写真集でも #こさかなとおうちデート カットがたくさんありますよ🐱💕

#…"
8,Mon May 03 23:59:55 +0000 2021,1389369159952199680,"【コスパ最強。コーヒー４杯分のカフェインを摂取】
つい夜更かしすることありますよね。
朝や午後の会議どうしても眠い時、だるい時に僕はこのカフェイン剤を使ってます。
でも使いすぎには注意ですよ、現役医薬品メーカーの僕とのお約束
  https://t.co/pv4g95F9ZX"
9,Mon May 03 23:59:52 +0000 2021,1389369147063095296,"Power Strip Surge Protector- 5 Outlets 3 USB Ports, 6Ft Flat Plug Braided Extension Cord

Only $12.99!!

Use Promo… https://t.co/PV2MMxElpt"
10,Mon May 03 23:59:52 +0000 2021,1389369147021213696,"RT @afroliteraria: 🗣️ COMPRE ""OLHOS D'ÁGUA"" FÍSICO POR R$18,30! 🗣️

Nesse livro, Conceição Evaristo coloca em foco a população afro-brasile…"
11,Mon May 03 23:59:51 +0000 2021,1389369140708724737,今流行りの首掛けマスク！ コロナウイルスなどのインフルエンザ予防対策にストラップで除菌。コロナウイルスなどのインフルエンザ予防に持ってこい(#^^#) https://t.co/DX40mAInlp
12,Mon May 03 23:59:48 +0000 2021,1389369130395054084,DX(デジタル・トランスフォーメーション)経営戦略 Kindle版 https://t.co/CNb7HFXDFD
13,Mon May 03 23:59:46 +0000 2021,1389369120920064002,RT @higginbothampub: #Authors #Bloggers #Readers It's time for a Manic #Monday #writerslift. Feel #free to #list your #books newest #reads…
14,Mon May 03 23:59:43 +0000 2021,1389369109796868102,"@madtatter_s Hi! You can turn off the microphone. When this is done, Alexa won’t respond to voice commands until yo… https://t.co/IT0TIIIyeY"
15,Mon May 03 23:59:42 +0000 2021,1389369105480835075,"RT @HLfavorito2: @HLfavorito @JuanFra99090920 Visita la Web oficial de Juan Francisco Marín.
Abierta las 24 horas del día.
¡Estáis todos in…"
16,Mon May 03 23:59:42 +0000 2021,1389369103794704388,"RT @TheOASG: [One Peace Books] Ryousen Takami &amp; Honoji's Multi-Mind Mayhem Volume 1: Isekai Tensei Soudouki pre-orders are up at
B&amp;N https:…"
17,Mon May 03 23:59:40 +0000 2021,1389369098388217857,"RT @E_eiga: The Art of Big Hero 6（英語）
「ベイマックス」アートブック
ハードカバー : 168ページ
23.5 x 2.22 x 24.45 cm

購入はこちら➡https://t.co/19JnjmmGNz https://t.co/7X…"
18,Mon May 03 23:59:37 +0000 2021,1389369083225837572,"RT @TheOASG: [Shonen Jump] Undead Unluck Volume 3 pre-orders are up at
Rightstuf https://t.co/zaO4eFFBkl
Amazon https://t.co/liKiAP1UYZ
B&amp;N…"
19,Mon May 03 23:59:36 +0000 2021,1389369081782947840,"RT @tokumiffy: いつもご訪問、いいね、フォローありがとうございます😊

気軽にタメ語で話しかけてください❣️
これからもよろしくお願いします✨

🟠楽天Room (2020年11月〜再開)
https://t.co/X5h4GsRkuH

#楽天Room #楽天ル…"
20,Mon May 03 23:59:36 +0000 2021,1389369080906346499,@GabrielsNotes The definitive (and great!) DXP breakdown is Deng Xiaoping and the Transformation of China. A fascin… https://t.co/et6nPKueDT
21,Mon May 03 23:59:35 +0000 2021,1389369073683861511,"Amazon's Choice
OXO 11176000 Good Grips Freezer-to-Oven Safe Glass Loaf Baking Dish, Clear
Was:$15.49
Price:$9.59 &amp;… https://t.co/1S1CShgnhw"
22,Mon May 03 23:59:34 +0000 2021,1389369073436352512,【予約受付中】４月３０日発売 ＃ツイステッドワンダーランド ツイステ Q posket リドル ローズハート フィギュア https://t.co/Hw3wI2ofz4 https://t.co/0XkgvMNiFc
23,Mon May 03 23:59:33 +0000 2021,1389369068701065218,"Y sigue disponible!! 😍

https://t.co/8f4Ww3MLrh https://t.co/DppTFyGvOk"
24,Mon May 03 23:59:31 +0000 2021,1389369060480192513,"Oferta de Livro:

📚: Mindhunter... O Primeiro Caçador de Serial Killers Americano 
💵: R$ 24,90 
🏬: Amazon
🛍️:… https://t.co/3PEEs38LjA"
25,Mon May 03 23:59:30 +0000 2021,1389369056512249857,"▼ カテゴリ[ベビー・キッズ:外出/移動用品](新品)
順位　：5位
商品名：カーステッカー マグネット カーサイン セーフティサイン ドラレコ
購入数：70(直近)
価格帯：1000-2700
楽天(仕入)：… https://t.co/yNPo6SbSzh"
26,Mon May 03 23:59:30 +0000 2021,1389369055325401095,"Find it here—&gt; https://t.co/hSja3uG26v
#YAFantasy #BookBoost #BookRecommendation #amreading #Read #book… https://t.co/hV8Q5YVEmK"
27,Mon May 03 23:59:30 +0000 2021,1389369054549352450,"RT @shiinuma_eru: ✰⋆｡:ﾟ･*☽:ﾟ･⋆｡✰⋆｡:ﾟ･*☽
💕Youtube💕
https://t.co/fjMrhZwNc5
💛FANBOX💛
https://t.co/LpjfUcYObv
💕マシュマロ💕
https://t.co/Dap4MD782P…"
28,Mon May 03 23:59:29 +0000 2021,1389369049415618560,"RT @BlackLivros: Voltou! ⚡ Pré-venda Amazon

Corte de chamas prateadas + brindes (R$ 69,90)
📖 https://t.co/pRlzZJGnC5 https://t.co/BtWDkAm9…"
29,Mon May 03 23:59:28 +0000 2021,1389369046475452423,"@tougejun1 Amazonです。ご心配をおかけしております。
返金の詳細について、ご連絡が来ていない状況でしょうか。
Eメールが届いていない場合には、メッセージセンター(https://t.co/z6C6qcOK6W)から… https://t.co/28xSCivUfM"
30,Mon May 03 23:59:24 +0000 2021,1389369029723181056,"Kidde 21005779 Pro 210 #Fire #Extinguisher, ABC, 160CI, 4 lbs, 1 Pack by Kidde https://t.co/SuKTWGHpps via @amazon"
31,Mon May 03 23:59:23 +0000 2021,1389369025424134144,"RT @FatKidDeals: 4-Piece ""Spice"" Grinder with ""Pollen"" Catcher for $14!!
*coupon on page

https://t.co/rHYf0EIXfo https://t.co/tpg5XDm0KC"
32,Mon May 03 23:59:22 +0000 2021,1389369020277837827,"@HLfavorito @JuanFra99090920 Visita la Web oficial de Juan Francisco Marín.
Abierta las 24 horas del día.
¡Estáis t… https://t.co/UdGpJTV3yL"
33,Mon May 03 23:59:20 +0000 2021,1389369012212183047,“One of the true tests of integrity is your refusal to compromise your honor at any price.” ~Frank Sonnenberg… https://t.co/XVtqfrQyov
34,Mon May 03 23:59:20 +0000 2021,1389369011247321093,"RT @sakamichinikkan: 日付変わって今日4日の日刊スポーツ連載「坂道の火曜日」は、日向坂46潮紗理菜さん、金村美玖さん、上村ひなのさんの3人の登場です！
発売中の写真集「日向撮」などついてうかがいました。
ぜひご覧になってみてください！
#坂チュー
Amazo…"
35,Mon May 03 23:59:19 +0000 2021,1389369010077138945,"RT @JapanAve: ／
意匠権取得FMトランスミッター
タイムセール開催中👏
https://t.co/TNJ8IFyL8k
＼

先着30名様まで！

音質が最高に良いと話題の
FMトランスミッター🎶

by なぎちゃん

フォロー&amp;RTで『頭文字D』の非売品Tシャツ…"
36,Mon May 03 23:59:19 +0000 2021,1389369009112424448,"RT @sakamichinikkan: 日付変わって今日4日の日刊スポーツ連載「坂道の火曜日」は、日向坂46潮紗理菜さん、金村美玖さん、上村ひなのさんの3人の登場です！
発売中の写真集「日向撮」などついてうかがいました。
ぜひご覧になってみてください！
#坂チュー
Amazo…"
37,Mon May 03 23:59:17 +0000 2021,1389368998526013445,アクアマリン(AQUAMARINE) の アイドルマスター SideM LIVE ON STGE! TD缶バッジ type: メンタル BOX商品 1BOX... を Amazon でチェック！ https://t.co/Gty3SmE5mV @さんから
38,Mon May 03 23:59:16 +0000 2021,1389368997418831879,All That Glitters: A Climber's Journey Through Addiction and Depression - Margo Talbot battles through some rough t… https://t.co/FROBB0Hhcr
39,Mon May 03 23:59:16 +0000 2021,1389368996466761728,Had good leaders like me. https://t.co/ctjCF1VDxk Read Leadership by Storytelling Dr. Tom DePaoli. Avoid leaders wh… https://t.co/bfSAGJnGse
40,Mon May 03 23:59:15 +0000 2021,1389368991794307076,"RT @BlackLivros: Voltou! ⚡ Pré-venda Amazon

Corte de chamas prateadas + brindes (R$ 69,90)
📖 https://t.co/pRlzZJGnC5 https://t.co/BtWDkAm9…"
41,Mon May 03 23:59:10 +0000 2021,1389368970482946049,"RT @lindsayromantic: #Romance #Magic A SUMMER BEWITCHMENT
https://t.co/2iAbk8pPvy UK https://t.co/luZF2KpE9i 
“I am the troll king of this…"
42,Mon May 03 23:59:09 +0000 2021,1389368964904587264,RT @MrBozon: Cloak your brain-powered meat-mech humanoid body with a Shantae Game Boy Color style shirt! Sold via Amazon Prime! https://t.c…
43,Mon May 03 23:59:08 +0000 2021,1389368962937413633,"Have your favorite coffee &amp; tea in the #MAGA mug
@eileen_xo4
https://t.co/YKdw2s2ZgZ"
44,Mon May 03 23:59:06 +0000 2021,1389368951914725380,"RT @hajime_ouendan: 次の作業を「すぐやる」方法
・脳の仕組みを知る
・過去より未来をイメージ
・作業の区切りを変える
・次の作業を少しだけ手をつける
・「前の行動」と「次の行動」を連結する
「脳」→「体」、「体」→「脳」へ指令の２つを使い分けて行動を「脳」に…"
45,Mon May 03 23:59:05 +0000 2021,1389368947762475016,"In Stock! https://t.co/8fxsKXWOw7

*Price and stock availability are subject to change daily* Amazon UK affiliate l… https://t.co/2OYVhu6rnO"
