,created_at,id,text,language
0,Sun May 02 07:59:00 +0000 2021,1.388764950466863e+18,"""House of Cards"" has always hit differently 🎂 Happy 5th birthday to @BTS_twt's ""The Most Beautiful Moment In Life:… https://t.co/99jv4iH4NS",en
1,Sun May 02 22:11:00 +0000 2021,1.3889793600240558e+18,POWER A Enhanced Wireless Controller for Nintendo Switch - Waluigi is up for preorder on Amazon ($49.99)… https://t.co/0zchqfK9ek,en
2,Sun May 02 14:21:00 +0000 2021,1.3888610816160686e+18,"Select 1st party Switch $39.99 physical/digital sale:
Amazon https://t.co/K4ErQUfYhK
GameStop… https://t.co/2VPfSEyqzv",en
3,Mon May 03 23:59:58 +0000 2021,1.3893691708575007e+18,Silicone Eye Pad for Oculus Quest 2 Face Cushion Cover Washable Anti-Leakage Light Blocking Face Cover VR Accessori… https://t.co/BfwQm4wJUA,en
4,Mon May 03 23:59:52 +0000 2021,1.3893691470630953e+18,"Power Strip Surge Protector- 5 Outlets 3 USB Ports, 6Ft Flat Plug Braided Extension Cord

Only $12.99!!

Use Promo… https://t.co/PV2MMxElpt",en
5,Mon May 03 23:59:46 +0000 2021,1.389369120920064e+18,RT @higginbothampub: #Authors #Bloggers #Readers It's time for a Manic #Monday #writerslift. Feel #free to #list your #books newest #reads…,en
6,Mon May 03 23:59:43 +0000 2021,1.389369109796868e+18,"@madtatter_s Hi! You can turn off the microphone. When this is done, Alexa won’t respond to voice commands until yo… https://t.co/IT0TIIIyeY",en
7,Mon May 03 23:59:42 +0000 2021,1.3893691037947044e+18,"RT @TheOASG: [One Peace Books] Ryousen Takami &amp; Honoji's Multi-Mind Mayhem Volume 1: Isekai Tensei Soudouki pre-orders are up at
B&amp;N https:…",en
8,Mon May 03 23:59:37 +0000 2021,1.3893690832258376e+18,"RT @TheOASG: [Shonen Jump] Undead Unluck Volume 3 pre-orders are up at
Rightstuf https://t.co/zaO4eFFBkl
Amazon https://t.co/liKiAP1UYZ
B&amp;N…",en
9,Mon May 03 23:59:36 +0000 2021,1.3893690809063465e+18,@GabrielsNotes The definitive (and great!) DXP breakdown is Deng Xiaoping and the Transformation of China. A fascin… https://t.co/et6nPKueDT,en
10,Mon May 03 23:59:35 +0000 2021,1.3893690736838615e+18,"Amazon's Choice
OXO 11176000 Good Grips Freezer-to-Oven Safe Glass Loaf Baking Dish, Clear
Was:$15.49
Price:$9.59 &amp;… https://t.co/1S1CShgnhw",en
11,Mon May 03 23:59:30 +0000 2021,1.389369055325401e+18,"Find it here—&gt; https://t.co/hSja3uG26v
#YAFantasy #BookBoost #BookRecommendation #amreading #Read #book… https://t.co/hV8Q5YVEmK",en
12,Mon May 03 23:59:24 +0000 2021,1.389369029723181e+18,"Kidde 21005779 Pro 210 #Fire #Extinguisher, ABC, 160CI, 4 lbs, 1 Pack by Kidde https://t.co/SuKTWGHpps via @amazon",en
13,Mon May 03 23:59:23 +0000 2021,1.3893690254241341e+18,"RT @FatKidDeals: 4-Piece ""Spice"" Grinder with ""Pollen"" Catcher for $14!!
*coupon on page

https://t.co/rHYf0EIXfo https://t.co/tpg5XDm0KC",en
14,Mon May 03 23:59:20 +0000 2021,1.389369012212183e+18,“One of the true tests of integrity is your refusal to compromise your honor at any price.” ~Frank Sonnenberg… https://t.co/XVtqfrQyov,en
15,Mon May 03 23:59:16 +0000 2021,1.389368997418832e+18,All That Glitters: A Climber's Journey Through Addiction and Depression - Margo Talbot battles through some rough t… https://t.co/FROBB0Hhcr,en
16,Mon May 03 23:59:16 +0000 2021,1.3893689964667617e+18,Had good leaders like me. https://t.co/ctjCF1VDxk Read Leadership by Storytelling Dr. Tom DePaoli. Avoid leaders wh… https://t.co/bfSAGJnGse,en
17,Mon May 03 23:59:10 +0000 2021,1.389368970482946e+18,"RT @lindsayromantic: #Romance #Magic A SUMMER BEWITCHMENT
https://t.co/2iAbk8pPvy UK https://t.co/luZF2KpE9i 
“I am the troll king of this…",en
18,Mon May 03 23:59:09 +0000 2021,1.3893689649045873e+18,RT @MrBozon: Cloak your brain-powered meat-mech humanoid body with a Shantae Game Boy Color style shirt! Sold via Amazon Prime! https://t.c…,en
19,Mon May 03 23:59:08 +0000 2021,1.3893689629374136e+18,"Have your favorite coffee &amp; tea in the #MAGA mug
@eileen_xo4
https://t.co/YKdw2s2ZgZ",en
20,Mon May 03 23:59:05 +0000 2021,1.389368947762475e+18,"In Stock! https://t.co/8fxsKXWOw7

*Price and stock availability are subject to change daily* Amazon UK affiliate l… https://t.co/2OYVhu6rnO",en
21,Mon May 03 23:59:02 +0000 2021,1.3893689377966858e+18,"85% Off!!

Cra-Z-Art Mini Twist Up Crayons, 20 Count 

https://t.co/xAIfYeFI2H

#BwcDeals #DogeDay420… https://t.co/X54VLxs0fm",en
22,Mon May 03 23:59:00 +0000 2021,1.3893689282127503e+18,"18"" Ring Light Bundle for $53.99!!

Save 46% with promo code 46RFDK421

https://t.co/ynfkE2a0di

Seller MUST be Moo… https://t.co/k12naz4EF9",en
23,Mon May 03 23:58:53 +0000 2021,1.3893688999682417e+18,@Bandarx10x Thanks for that information. You can learn more here: https://t.co/4ciNnpY0ru. -Tenisha,en
24,Mon May 03 23:58:49 +0000 2021,1.3893688832958833e+18,"RT @telugufilmnagar: Have you watched #Powerstar #PawanKalyan's #VakeelSaabOnPrime yet ?

ICYMI ▶️ https://t.co/vInwCKHXEK

@PrimeVideoIN
@…",en
25,Mon May 03 23:58:47 +0000 2021,1.3893688758888202e+18,RT @products_hot: Just saw this on Amazon: Topmelon Women's Bustier Corset Sexy Girdle Waist Cincher with Garter Belt by TOPMELON for $21.9…,en
26,Mon May 03 23:58:41 +0000 2021,1.3893688483616563e+18,"Remote Control Cars | RC Car Toys 4WD Stunt Car 360° Rotating Toy CRADREAM 2.4GHz
#offers #deals #Amazon

Clip a ex… https://t.co/iBQYZqgncU",en
27,Mon May 03 23:58:41 +0000 2021,1.3893688480428974e+18,"RT @jnovelclub: [PRE-ORDER] ""The Great Cleric"" Vol. 3 eBook - June 28

JNC: https://t.co/dwfaI1P5Zp
BOOK WALKER: https://t.co/Bai6TmLKCw
No…",en
28,Mon May 03 23:58:38 +0000 2021,1.3893688378255196e+18,"RT @OkroguLes: Just saw this on Amazon: The Pirate (Bloodlands collection) by Schechter, Harold for $1.99 https://t.co/MCtbhAhwcX via @amaz…",en
29,Mon May 03 23:58:38 +0000 2021,1.3893688373557084e+18,*\(^o^)/*Check out this Amazon deal: [New Release]DKnight Magicbox II Bluetooth 4.... by DKnight https://t.co/Pfwe0UQ4Ew amazonさんから,en
30,Mon May 03 23:58:35 +0000 2021,1.3893688247477248e+18,"Starfinder Adventure Path: Waking the Worldseed

11% off and part of the big buy one get one half off book sale.… https://t.co/aECzHGgM9l",en
31,Mon May 03 23:58:32 +0000 2021,1.3893688121187123e+18,"@TylerHarris_216 Thanks for reaching out with your feedback! We accept a variety of payment options, including cred… https://t.co/6CwMfhNBAn",en
32,Mon May 03 23:58:24 +0000 2021,1.3893687767565353e+18,"RT @OkroguLes: Just saw this on Amazon: Enemy of the People: The Untold Story of the Journalists Who Opposed Hitler by Petty, Terrence for…",en
33,Mon May 03 23:58:22 +0000 2021,1.3893687708130386e+18,"@preterniadotcom @TXHophead 👺 ""Tusken Raider"" 13"" Statue by Kotobukiya 👉 https://t.co/dDuPavbudz
Hurry! Only 4 LEFT!",en
34,Mon May 03 23:58:22 +0000 2021,1.3893687676002304e+18,https://t.co/CFTfsiwKYX,en
35,Mon May 03 23:58:19 +0000 2021,1.389368755571024e+18,RT @Wario64: A Die Hard Christmas Gift Set hardcover book with John McClane plush is $9.99 on Amazon https://t.co/jK4emq8Tus #ad https://t.…,en
