,index,created_at,id,text,language
0,0.0,Sun May 02 07:59:00 +0000 2021,1.388764950466863e+18, House of Cards  has always hit differently   Happy  th birthday to  s  The Most Beautiful Moment In Life   ,en
2,2.0,Sun May 02 14:21:00 +0000 2021,1.3888610816160686e+18,Select  st party Switch        physical digital sale  Amazon  GameStop  ,en
3,3.0,Mon May 03 23:59:58 +0000 2021,1.3893691708575007e+18,Silicone Eye Pad for Oculus Quest   Face Cushion Cover Washable Anti Leakage Light Blocking Face Cover VR Accessori  ,en
4,4.0,Mon May 03 23:59:52 +0000 2021,1.3893691470630953e+18,Power Strip Surge Protector    Outlets   USB Ports   Ft Flat Plug Braided Extension Cord  Only           Use Promo  ,en
6,6.0,Mon May 03 23:59:43 +0000 2021,1.389369109796868e+18, Hi  You can turn off the microphone  When this is done  Alexa won t respond to voice commands until yo  ,en
7,7.0,Mon May 03 23:59:42 +0000 2021,1.3893691037947044e+18,   One Peace Books  Ryousen Takami  amp  Honoji s Multi Mind Mayhem Volume    Isekai Tensei Soudouki pre orders are up at B amp N https  ,en
8,8.0,Mon May 03 23:59:37 +0000 2021,1.3893690832258376e+18,   Shonen Jump  Undead Unluck Volume   pre orders are up at Rightstuf  Amazon  B amp N ,en
9,9.0,Mon May 03 23:59:36 +0000 2021,1.3893690809063465e+18, The definitive  and great   DXP breakdown is Deng Xiaoping and the Transformation of China  A fascin  ,en
10,10.0,Mon May 03 23:59:35 +0000 2021,1.3893690736838615e+18,Amazon s Choice OXO          Good Grips Freezer to Oven Safe Glass Loaf Baking Dish  Clear Was        Price        amp   ,en
11,11.0,Mon May 03 23:59:30 +0000 2021,1.389369055325401e+18,Find it here  gt    YAFantasy  BookBoost  BookRecommendation  amreading  Read  book  ,en
12,12.0,Mon May 03 23:59:24 +0000 2021,1.389369029723181e+18,Kidde          Pro      Fire  Extinguisher  ABC     CI    lbs    Pack by Kidde  via ,en
13,13.0,Mon May 03 23:59:23 +0000 2021,1.389369025424134e+18,    Piece  Spice  Grinder with  Pollen  Catcher for        coupon on page   ,en
14,14.0,Mon May 03 23:59:20 +0000 2021,1.389369012212183e+18, One of the true tests of integrity is your refusal to compromise your honor at any price    Frank Sonnenberg  ,en
15,15.0,Mon May 03 23:59:16 +0000 2021,1.389368997418832e+18,All That Glitters  A Climber s Journey Through Addiction and Depression   Margo Talbot battles through some rough t  ,en
16,16.0,Mon May 03 23:59:16 +0000 2021,1.3893689964667617e+18,Had good leaders like me   Read Leadership by Storytelling Dr  Tom DePaoli  Avoid leaders wh  ,en
17,17.0,Mon May 03 23:59:10 +0000 2021,1.389368970482946e+18,   Romance  Magic A SUMMER BEWITCHMENT  UK    I am the troll king of this ,en
18,18.0,Mon May 03 23:59:09 +0000 2021,1.3893689649045873e+18,  Cloak your brain powered meat mech humanoid body with a Shantae Game Boy Color style shirt  Sold via Amazon Prime   ,en
19,19.0,Mon May 03 23:59:08 +0000 2021,1.3893689629374136e+18,Have your favorite coffee  amp  tea in the  MAGA mug  ,en
20,20.0,Mon May 03 23:59:05 +0000 2021,1.389368947762475e+18,In Stock     Price and stock availability are subject to change daily  Amazon UK affiliate l  ,en
21,21.0,Mon May 03 23:59:02 +0000 2021,1.3893689377966858e+18,    Off    Cra Z Art Mini Twist Up Crayons     Count      BwcDeals  DogeDay     ,en
22,22.0,Mon May 03 23:59:00 +0000 2021,1.3893689282127503e+18,    Ring Light Bundle for           Save     with promo code   RFDK       Seller MUST be Moo  ,en
23,23.0,Mon May 03 23:58:53 +0000 2021,1.3893688999682417e+18, Thanks for that information  You can learn more here    Tenisha,en
24,24.0,Mon May 03 23:58:49 +0000 2021,1.3893688832958833e+18,  Have you watched  Powerstar  PawanKalyan s  VakeelSaabOnPrime yet    ICYMI         ,en
25,25.0,Mon May 03 23:58:47 +0000 2021,1.3893688758888202e+18,  Just saw this on Amazon  Topmelon Women s Bustier Corset Sexy Girdle Waist Cincher with Garter Belt by TOPMELON for       ,en
26,26.0,Mon May 03 23:58:41 +0000 2021,1.3893688483616563e+18,emote Control Cars   RC Car Toys  WD Stunt Car      Rotating Toy CRADREAM    GHz  offers  deals  Amazon  Clip a ex  ,en
27,27.0,Mon May 03 23:58:41 +0000 2021,1.3893688480428974e+18,   PRE ORDER   The Great Cleric  Vol    eBook   June     JNC   BOOK WALKER   No ,en
28,28.0,Mon May 03 23:58:38 +0000 2021,1.3893688378255196e+18,  Just saw this on Amazon  The Pirate  Bloodlands collection  by Schechter  Harold for        via  ,en
29,29.0,Mon May 03 23:58:38 +0000 2021,1.3893688373557084e+18,    o    Check out this Amazon deal   New Release DKnight Magicbox II Bluetooth       by DKnight  amazon    ,en
30,30.0,Mon May 03 23:58:35 +0000 2021,1.3893688247477248e+18,Starfinder Adventure Path  Waking the Worldseed      off and part of the big buy one get one half off book sale   ,en
31,31.0,Mon May 03 23:58:32 +0000 2021,1.3893688121187123e+18, Thanks for reaching out with your feedback  We accept a variety of payment options  including cred  ,en
32,32.0,Mon May 03 23:58:24 +0000 2021,1.3893687767565353e+18,  Just saw this on Amazon  Enemy of the People  The Untold Story of the Journalists Who Opposed Hitler by Petty  Terrence for ,en
33,33.0,Mon May 03 23:58:22 +0000 2021,1.3893687708130386e+18,     Tusken Raider      Statue by Kotobukiya    Hurry  Only   LEFT ,en
34,,,,,
35,35.0,Mon May 03 23:58:19 +0000 2021,1.389368755571024e+18,  A Die Hard Christmas Gift Set hardcover book with John McClane plush is       on Amazon   ad  ,en
36,36.0,Mon May 03 23:58:19 +0000 2021,1.3893687552186532e+18,Capitalize on the Negative Overreaction Towards  ViacomCBS  VIAC    DISCA  NFLX  DIS  AAPL  FOXA  CMCSA  T  VZ  ,en
37,37.0,Mon May 03 23:58:18 +0000 2021,1.3893687541825782e+18,DONT MISS THIS DEAL   Massage Gun Deep Tissue Percussion Body Massager for Muscles Handheld Therapy and Relaxation   ,en
38,38.0,Mon May 03 23:58:18 +0000 2021,1.3893687541786092e+18,Star Wars Battlefront II price just Dropped Big TIME       starwars  mandalorian ,en
39,39.0,Mon May 03 23:58:17 +0000 2021,1.3893687495355146e+18,    May       Canadian Lieutenant  Colonel  MD John  McCrae writes the poem  In Flanders Fields   He wrote the  poem in t ,en
40,40.0,Mon May 03 23:58:15 +0000 2021,1.3893687390496522e+18,  pack of LED RGB Flood Lights            Coupon PLUS Save     with promo code   TKHBLS    ,en
41,41.0,Mon May 03 23:58:13 +0000 2021,1.3893687315125412e+18,What makes a place   Haunted   Award winning book by Kitty Janusz  Now on Amazon  amp  Kindle  ,en
42,45.0,Sun May 02 23:59:59 +0000 2021,1.3890067863306035e+18,   House of Cards  has always hit differently   Happy  th birthday to  s  The Most Beautiful Moment In Life  Young ,en
43,46.0,Sun May 02 23:59:58 +0000 2021,1.3890067851560264e+18,    King  amp  Prince  CM                    Amazon         net  ,en
44,47.0,Sun May 02 23:59:53 +0000 2021,1.3890067617853972e+18,  FREEFORMED HYBRIDS   An interesting sci fi take on the origins of humanity  a fairly original storyline   by   h ,en
45,48.0,Sun May 02 23:59:52 +0000 2021,1.3890067589039596e+18,  RT   What if Alien is right  Aren t those eyes the source of all his troubles and injuries  both those visible to the ,en
46,49.0,Sun May 02 23:59:51 +0000 2021,1.3890067559679508e+18,  MY NEWEST Luna Lake Cabins entry   standalone  full length novel A Second Kiss for Christmas  Can a ,en
47,50.0,Sun May 02 23:59:47 +0000 2021,1.3890067371565466e+18,A product in my  kit   Gaming   About this item  More Information    gigabyte  asus  intel  ,en
48,51.0,Sun May 02 23:59:47 +0000 2021,1.3890067360367124e+18,Wish you a happy  MothersDay   ,en
