,Unnamed: 0,Unnamed: 0.1,index,created_at,id,text,language,shingleSet,signature,builtModel_sentiment,vader_score
0,0,0,0.0,Sun May 02 07:59:00 +0000 2021,1.388764950466863e+18, House of Cards  has always hit differently   Happy  th birthday to  s  The Most Beautiful Moment In Life   ,en,"{3455063171, 1408802948, 3967006724, 483391110, 3700543625, 4039795597, 3087359374, 2654461199, 4168127759, 2861231762, 4013102741, 1341493658, 4023720613, 4258506290, 3988409267, 3057195459, 551611730, 2331417558, 994455896, 1961002976, 623643745, 2798562530, 3036983791, 32399088, 2344914672, 2747390966}","[69277892, 29551887, 9488767, 21443863, 130321830, 53514348, 255560023, 16543469, 67738855, 206036236]",1,0.8357
1,1,2,2.0,Sun May 02 14:21:00 +0000 2021,1.3888610816160686e+18,Select  st party Switch        physical digital sale  Amazon  GameStop  ,en,"{3481900867, 2620196452, 237583687, 1968184171, 370886797, 1703578542, 3909692303, 86879888, 1946763634, 1381211091, 2708991700, 2963278421, 4013102741, 1501724761, 2242747038}","[357313354, 200396749, 330873488, 80418240, 108097224, 614237056, 434032276, 18000918, 294659062, 32996180]",1,0.5267
2,2,3,3.0,Mon May 03 23:59:58 +0000 2021,1.3893691708575007e+18,Silicone Eye Pad for Oculus Quest   Face Cushion Cover Washable Anti Leakage Light Blocking Face Cover VR Accessori  ,en,"{594769416, 2740734737, 2450043928, 3640267417, 458792483, 2523632294, 3625433894, 1188639404, 2742100144, 86996529, 3944660658, 361732031, 3068038592, 991913286, 4090331348, 1342342889, 1030141805, 4262209654, 4286315896, 1933345275}","[58480877, 138627901, 24612090, 796973078, 48752358, 170560844, 86728843, 146647398, 236800113, 476426928]",1,-0.5994
3,3,4,4.0,Mon May 03 23:59:52 +0000 2021,1.3893691470630953e+18,Power Strip Surge Protector    Outlets   USB Ports   Ft Flat Plug Braided Extension Cord  Only           Use Promo  ,en,"{693199104, 2065756037, 369095176, 626586633, 4161559179, 3417210123, 862599950, 4013102741, 2249761051, 4100727966, 3317954226, 374056242, 3340557622, 3992244024, 3624525121, 3912494792, 1052854217, 2334388170, 3303191895, 1215327076, 3831622505, 128603375, 2293549553, 1475485431, 3743407482, 596839931}","[63015609, 17752544, 1560977, 50567359, 389340683, 25182298, 65527407, 1394810, 125657025, 2711969]",-1,0.0
4,4,6,6.0,Mon May 03 23:59:43 +0000 2021,1.389369109796868e+18, Hi  You can turn off the microphone  When this is done  Alexa won t respond to voice commands until yo  ,en,"{1538276102, 1610259334, 890091017, 3614318604, 172253967, 3356811151, 3737522069, 3495672602, 264631199, 519095457, 99081516, 1554265011, 1290896192, 2553720261, 3976010952, 30308045, 1890475132, 3908129105, 3880614098, 3241447897, 2405075803, 2062657888, 2593171196, 3658659965}","[209003528, 69077452, 49794868, 67688133, 5626443, 263110291, 713898472, 197171424, 55930137, 352485168]",1,0.5719
5,5,7,7.0,Mon May 03 23:59:42 +0000 2021,1.3893691037947044e+18,   One Peace Books  Ryousen Takami  amp  Honoji s Multi Mind Mayhem Volume    Isekai Tensei Soudouki pre orders are up at B amp N https  ,en,"{2247564803, 3265942787, 512931462, 754346122, 1606080271, 848886036, 4013102741, 766177172, 45429143, 1183205402, 447835684, 3553350058, 3492235570, 1374796213, 353010748, 2083580606, 887838403, 3962280901, 3437061963, 2439885643, 3565688784, 3091838931, 716613339, 2874298204, 1952182110, 723083751, 2515097712, 3309233650, 4054689908, 3016841335, 1612123896, 1012748286}","[1889033, 72934680, 9586816, 254232506, 157112674, 160299019, 43966385, 193174783, 7161598, 122455031]",1,0.5423
6,6,8,8.0,Mon May 03 23:59:37 +0000 2021,1.3893690832258376e+18,   Shonen Jump  Undead Unluck Volume   pre orders are up at Rightstuf  Amazon  B amp N ,en,"{65347587, 3822344964, 3909692303, 172444306, 4013102741, 1090063517, 355363487, 385285412, 3762778277, 3812430004, 2083580606, 2057680576, 4247569731, 3962280901, 3565688784, 3555824084, 3327958014, 1952182110, 2515097712, 2361417969, 3271040766, 817410431}","[1889033, 307387626, 58791073, 58516307, 458439711, 59208423, 637403728, 288305616, 47254571, 390236557]",-1,0.1779
7,7,9,9.0,Mon May 03 23:59:36 +0000 2021,1.3893690809063465e+18, The definitive  and great   DXP breakdown is Deng Xiaoping and the Transformation of China  A fascin  ,en,"{1898019970, 245351801, 3377190035, 3987705888, 2027832230, 971014445, 3373908014, 3750472376, 2219103037, 3588697278, 2815301951, 2648175688, 260019017, 3578594378, 1256087371, 3134041442, 234942178, 430127586, 63928688, 3906994039, 1545079929}","[12241073, 409836677, 175125550, 235922729, 786668871, 107397140, 146286319, 249924153, 426220510, 110408456]",1,0.6249
8,8,10,10.0,Mon May 03 23:59:35 +0000 2021,1.3893690736838615e+18,Amazon s Choice OXO          Good Grips Freezer to Oven Safe Glass Loaf Baking Dish  Clear Was        Price        amp   ,en,"{1361570308, 3230115216, 2589002772, 4013102741, 2555779348, 1687346327, 1397252893, 2589832481, 1156290470, 3492235570, 2528686904, 1215101498, 3228029757, 936814275, 262091722, 3924424401, 1040339156, 3137951189, 3248167642, 3340030303, 4061540192, 1855107814, 697499881, 1854269552, 2769607283, 497625725}","[161682214, 151615585, 114853404, 85920989, 24663410, 438008115, 191557787, 192461973, 145469817, 92235194]",1,0.8442
9,9,11,11.0,Mon May 03 23:59:30 +0000 2021,1.389369055325401e+18,Find it here  gt    YAFantasy  BookBoost  BookRecommendation  amreading  Read  book  ,en,"{446131463, 1722886288, 4013102741, 1741081502, 132867108, 3225152820, 3167957437, 2057819200, 1758063430, 1295118921, 4081470544, 2428678609, 3681691732, 3358947668, 1680256350, 892927078, 2343506035, 3167185268, 2379384059}","[167708096, 96437641, 778627633, 539511207, 204051163, 278476723, 43436797, 61921407, 90025292, 126968772]",1,0.2732
10,10,12,12.0,Mon May 03 23:59:24 +0000 2021,1.389369029723181e+18,Kidde          Pro      Fire  Extinguisher  ABC     CI    lbs    Pack by Kidde  via ,en,"{1627891088, 37520657, 4013102741, 3432717335, 16042145, 1318724001, 1116748837, 191446570, 1836045104, 147026869, 3529955510, 4086464698, 2834152635, 3254607290, 3917453119, 2027646144, 566321880, 1228516824, 1398977249, 3077538529, 177078120, 2034539242, 3111448184, 2919756412}","[26158258, 430326673, 299769830, 150347179, 63505373, 461239242, 104841887, 147004183, 563526066, 992111513]",1,-0.34
11,11,13,13.0,Mon May 03 23:59:23 +0000 2021,1.389369025424134e+18,    Piece  Spice  Grinder with  Pollen  Catcher for        coupon on page   ,en,"{2257852930, 1488269444, 3139246612, 4013102741, 3472715162, 842295462, 239210158, 3170569162, 2951755339, 2767736278, 3843904730, 1633942619, 1318034533, 3308882918, 288634600, 1413267049, 374616302, 1250568945, 3707226361}","[109751043, 450618609, 546848002, 431457823, 258145933, 221786453, 125839617, 42762762, 63818508, 509639620]",1,0.0
12,12,14,14.0,Mon May 03 23:59:20 +0000 2021,1.389369012212183e+18, One of the true tests of integrity is your refusal to compromise your honor at any price    Frank Sonnenberg  ,en,"{4026647298, 2921639938, 3284852102, 597727762, 4013102741, 2411914263, 4101901337, 2462524061, 309469856, 4175193507, 1786394033, 1786992436, 737376708, 266432712, 3720035403, 894150349, 4041320272, 1731983830, 773423836, 4205924459, 1789518831, 2355871350, 2301766142}","[386499700, 201780860, 167383725, 7639024, 61589780, 273829872, 69436851, 326294843, 240800043, 410931731]",1,0.8225
13,13,15,15.0,Mon May 03 23:59:16 +0000 2021,1.389368997418832e+18,All That Glitters  A Climber s Journey Through Addiction and Depression   Margo Talbot battles through some rough t  ,en,"{502558865, 3526646930, 817252241, 3421052309, 2916568862, 2439066787, 453007651, 639702063, 1614631477, 2114243640, 1667161282, 97825354, 3713861715, 3594572509, 1173683310, 39001588, 2306227573, 867647862, 2340797559, 2463503742, 2970093951}","[98153195, 109314883, 170882107, 13292387, 42398027, 232066667, 249616656, 553947026, 317921094, 53798011]",1,-0.743
14,14,16,16.0,Mon May 03 23:59:16 +0000 2021,1.3893689964667617e+18,Had good leaders like me   Read Leadership by Storytelling Dr  Tom DePaoli  Avoid leaders wh  ,en,"{2967621125, 845941005, 1609434266, 2533447458, 2318046631, 3816026037, 14443959, 1171361722, 3050260926, 1065540043, 1854847700, 1524477404, 2977995744, 150928739, 208677992, 1345328361, 1022469864, 207092208, 1068770935}","[142525257, 95980867, 189792291, 51782279, 50927932, 67223187, 143924667, 43268715, 124809902, 102661622]",1,0.4939
